Stock,PCR,TradeDate
ASHOKLEY,0.723521,2019-10-29
ASHOKLEY,0.729673,2019-10-30
ASHOKLEY,0.786486,2019-10-31
ASHOKLEY,0.566103,2019-11-01
ASHOKLEY,0.591716,2019-11-04
ASHOKLEY,0.563921,2019-11-05
ASHOKLEY,0.557818,2019-11-06
ASHOKLEY,0.587392,2019-11-07
ASHOKLEY,0.753020,2019-11-08
ASHOKLEY,1.059013,2019-11-11
ASHOKLEY,0.781129,2019-11-13
ASHOKLEY,0.720372,2019-11-14
ASHOKLEY,0.559763,2019-11-15
ASHOKLEY,0.601233,2019-11-18
ASHOKLEY,0.612295,2019-11-19
ASHOKLEY,0.629307,2019-11-20
ASHOKLEY,0.661931,2019-11-21
ASHOKLEY,0.606608,2019-11-22
ASHOKLEY,0.613623,2019-11-25
ASHOKLEY,0.569241,2019-11-26
ASHOKLEY,0.599975,2019-11-27
ASHOKLEY,0.612610,2019-11-28
ASHOKLEY,0.511454,2019-11-29
ASHOKLEY,0.536217,2019-12-02
ASHOKLEY,0.496580,2019-12-03
ASHOKLEY,0.473906,2019-12-04
ASHOKLEY,0.456308,2019-12-05
ASHOKLEY,0.462076,2019-12-06
ASIANPAINT,0.531746,2019-10-10
ASIANPAINT,0.618037,2019-10-11
ASIANPAINT,0.648885,2019-10-14
ASIANPAINT,0.644289,2019-10-15
ASIANPAINT,0.614027,2019-10-16
ASIANPAINT,0.805309,2019-10-17
ASIANPAINT,0.838315,2019-10-18
ASIANPAINT,0.670915,2019-10-22
ASIANPAINT,0.549274,2019-10-23
ASIANPAINT,0.578646,2019-10-24
ASIANPAINT,0.629056,2019-10-25
ASIANPAINT,0.778056,2019-10-29
ASIANPAINT,0.832151,2019-10-30
ASIANPAINT,0.995637,2019-10-31
ASIANPAINT,0.625420,2019-11-01
ASIANPAINT,0.759729,2019-11-04
ASIANPAINT,0.765903,2019-11-05
ASIANPAINT,0.866610,2019-11-06
ASIANPAINT,0.816395,2019-11-07
ASIANPAINT,0.705484,2019-11-08
ASIANPAINT,0.757681,2019-11-11
ASIANPAINT,0.755997,2019-11-13
ASIANPAINT,0.788722,2019-11-14
ASIANPAINT,0.808032,2019-11-15
ASIANPAINT,0.743621,2019-11-18
ASIANPAINT,0.578864,2019-11-19
ASIANPAINT,0.527456,2019-11-20
ASIANPAINT,0.488868,2019-11-21
ASIANPAINT,0.444976,2019-11-22
ASIANPAINT,0.500239,2019-11-25
ASIANPAINT,0.500982,2019-11-26
ASIANPAINT,0.520307,2019-11-27
ASIANPAINT,0.551508,2019-11-28
ASIANPAINT,0.775061,2019-11-29
ASIANPAINT,0.792110,2019-12-02
ASIANPAINT,0.777227,2019-12-03
ASIANPAINT,0.755577,2019-12-04
ASIANPAINT,0.717411,2019-12-05
ASIANPAINT,0.644317,2019-12-06
AUROPHARMA,0.529389,2019-10-10
AUROPHARMA,0.506086,2019-10-11
AUROPHARMA,0.531561,2019-10-14
AUROPHARMA,0.548850,2019-10-15
AUROPHARMA,0.572883,2019-10-16
AUROPHARMA,0.560817,2019-10-17
AUROPHARMA,0.605543,2019-10-18
AUROPHARMA,0.598872,2019-10-22
AUROPHARMA,0.571848,2019-10-23
AUROPHARMA,0.569720,2019-10-24
AUROPHARMA,0.587779,2019-10-25
AUROPHARMA,0.613062,2019-10-29
AUROPHARMA,0.583220,2019-10-30
AUROPHARMA,0.630608,2019-10-31
AUROPHARMA,1.032019,2019-11-01
AUROPHARMA,0.828533,2019-11-04
AUROPHARMA,0.781795,2019-11-05
AUROPHARMA,0.670870,2019-11-06
AUROPHARMA,0.710558,2019-11-07
AUROPHARMA,0.673030,2019-11-08
AUROPHARMA,0.563829,2019-11-11
AUROPHARMA,0.465322,2019-11-13
AUROPHARMA,0.362147,2019-11-14
AUROPHARMA,0.410803,2019-11-15
AUROPHARMA,0.433373,2019-11-18
AUROPHARMA,0.448529,2019-11-19
AUROPHARMA,0.535882,2019-11-20
AUROPHARMA,0.507086,2019-11-21
AUROPHARMA,0.465673,2019-11-22
AUROPHARMA,0.502906,2019-11-25
AUROPHARMA,0.523302,2019-11-26
AUROPHARMA,0.604637,2019-11-27
AUROPHARMA,0.666441,2019-11-28
AUROPHARMA,0.593607,2019-11-29
AUROPHARMA,0.537521,2019-12-02
AUROPHARMA,0.555555,2019-12-03
AUROPHARMA,0.604966,2019-12-04
AUROPHARMA,0.583778,2019-12-05
AUROPHARMA,0.552509,2019-12-06
AXISBANK,0.621525,2019-10-10
AXISBANK,0.609883,2019-10-11
AXISBANK,0.733501,2019-10-14
AXISBANK,0.899182,2019-10-15
AXISBANK,0.831790,2019-10-16
AXISBANK,1.090351,2019-10-17
AXISBANK,0.903877,2019-10-18
AXISBANK,0.927227,2019-10-22
AXISBANK,0.918718,2019-10-23
AXISBANK,0.857509,2019-10-24
AXISBANK,0.762559,2019-10-25
AXISBANK,1.147403,2019-10-29
AXISBANK,1.157599,2019-10-30
AXISBANK,1.167816,2019-10-31
AXISBANK,0.851028,2019-11-01
AXISBANK,0.702588,2019-11-04
AXISBANK,0.626502,2019-11-05
AXISBANK,0.723340,2019-11-06
AXISBANK,0.574051,2019-11-07
AXISBANK,0.560376,2019-11-08
AXISBANK,0.567223,2019-11-11
AXISBANK,0.439779,2019-11-13
AXISBANK,0.455119,2019-11-14
AXISBANK,0.476779,2019-11-15
AXISBANK,0.482237,2019-11-18
AXISBANK,0.750798,2019-11-19
AXISBANK,0.692691,2019-11-20
AXISBANK,0.611408,2019-11-21
AXISBANK,0.614052,2019-11-22
AXISBANK,0.719248,2019-11-25
AXISBANK,0.807576,2019-11-26
AXISBANK,0.780224,2019-11-27
AXISBANK,0.811883,2019-11-28
AXISBANK,0.762187,2019-11-29
AXISBANK,0.814773,2019-12-02
AXISBANK,0.773207,2019-12-03
AXISBANK,0.766762,2019-12-04
AXISBANK,0.670724,2019-12-05
AXISBANK,0.612265,2019-12-06
BAJAJ-AUTO,0.502538,2019-10-10
BAJAJ-AUTO,0.478397,2019-10-11
BAJAJ-AUTO,0.542042,2019-10-14
BAJAJ-AUTO,0.576601,2019-10-15
BAJAJ-AUTO,0.646324,2019-10-16
BAJAJ-AUTO,0.764450,2019-10-17
BAJAJ-AUTO,0.800411,2019-10-18
BAJAJ-AUTO,0.776091,2019-10-22
